label,description,tweets
,News of Maghreb and Mashreq,Civilian Amar Nuri was killed today by Iraqi army shelling on #Hit city https://t.co/hR6UFdrRjX
,News of Maghreb and Mashreq,#Fallujah girl lost her arm after Iraqi army shelling https://t.co/3jqyrljCHk
,News of Maghreb and Mashreq,One-month old child was found in one of the streets of al-Arish https://t.co/Duq62R1Uaq
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","So they fight together and they also sign ceasefire together, what next ? Government of National unity ? https://t.co/uSauJQGJkg"
,"Plea of the Ummah!
Ummathuge Aadheys!
A Campaign by Jamiyyathul Bayan.",󾠢 | Martyrdom operation hits Syrian opposition fighters after advancing towards the silos of ar-Rai near the... https://t.co/jVOSYRs8VS
,"Plea of the Ummah!
Ummathuge Aadheys!
A Campaign by Jamiyyathul Bayan.","󾠢 | Killing 12 Nusayri Soldiers and Taking Control Over Points on the Edges of al-Bardah 
#IslamicState... https://t.co/P8aHFkAIrg"
,News of Maghreb and Mashreq,RT @oobaida_ooo: فصائل المعارضة السورية تهاجم امدادات الدولة الاسلامية المتوجهة لدعم مقاتليها في المعارك المستمرة ضد النظام السوري في القلم…
,News of Maghreb and Mashreq,"RT @rtm_zoom: السهم اﻻحمر مكان هجوم الجيش
الدائرة الحمراء هي النقطة التي يريد الجيش الوصول اليها
لقطع اﻻمداد على جزيرة الخالدية
. https://t…"
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@CedricMas @Gobelet_Jetable lui aussi veut goûter au pouvoirs du Waqi'i
,News of Maghreb and Mashreq,"NOTE: @wwayyf44rer is inaccessible 

@wayf44rerr is the active account"
,"Plea of the Ummah!
Ummathuge Aadheys!
A Campaign by Jamiyyathul Bayan.",󾓯|Photos from the attack on the Nusayri army positions in  #AdDaghim area near #AlKhayr military airbase... https://t.co/hjJO1AsnOQ
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","""Iraq: Fallujah Siege Starving Population""

https://t.co/vIp2TOCRtL"
,News of Maghreb and Mashreq,@adam_hasakah86 the irony lol
,News of Maghreb and Mashreq,Rebels attack #IS reinforcements to the front-lines with regime https://t.co/Q0aYMXLw6E
,Walaa & Baraa,"RT @TheHourIsNear4: ""#JayshAlIslam are no longer ""rebels"" from the looks of it, and:
""whoever is an ally to them among you - then indeed, h…"
,"Bismi-llāhi r-raḥmāni r-raḥīmi|  Allahumma inni as’aluk ash-shahadah| Sabran ya nafsi| No DM|  سلف الصالح

Ahl' us Sunn'āh wāl Jāmm'āh",@Jazrawi_Saraqib Even white Muslims who made H to live &amp; fight alongside IS? I agree with @lotusbottom110 on that. we have many white's here
,"Bismi-llāhi r-raḥmāni r-raḥīmi|  Allahumma inni as’aluk ash-shahadah| Sabran ya nafsi| No DM|  سلف الصالح

Ahl' us Sunn'āh wāl Jāmm'āh","""Only hearts ingrained in pure Nifaq gloat over hardships that the enemies of Islām inflict on the  believers."" ~Sh. Ahmad Musa Jibril(RH)"
,"Bismi-llāhi r-raḥmāni r-raḥīmi|  Allahumma inni as’aluk ash-shahadah| Sabran ya nafsi| No DM|  سلف الصالح

Ahl' us Sunn'āh wāl Jāmm'āh","""I can almost guarantee you there will be more Muslims behind the Dajjal than there will be behind imam Mehdi."" ~Musa Cerantonio (HA)"
,"Plea of the Ummah!
Ummathuge Aadheys!
A Campaign by Jamiyyathul Bayan.",󾠢|Breaking News - 28 Jumada Al-Akhirah 1437: Taking control over many #Jawlani Front’s points in south #Dimashq... https://t.co/5DqftgqM4M
,,"#Breaking 
#IslamicState 
#WilayatAlFallujah

#Rafida
#Fallujah
#Hashd

https://t.co/hugAnviwVW https://t.co/eZRo3Oh4KW"
,,"#ISIS
#WilayatAlKhayr
the attack on the Nusayri army positions in #AdDaghim near #AlKhayr
https://t.co/seqQewCs2P https://t.co/ODiqgQoivK"
,,"#WilayatAlJazirah 
Reconciling between two Clans and paying the Compensation in #TalAfar

https://t.co/2uX9rwrdK4 https://t.co/UQHrmsNTv5"
,,"#Breaking 
#IslamicState 
#AmaqAgency 
#WilayatHalab 

📰 | Martyrdom operation hits Syrian opposition fighters https://t.co/fflXcLwFs1"
,,"#IslamicState
#WilayatArRaqqah

📷 | A tour in #AlFurat Dam in #al-Tabaqah city 

https://t.co/KsahjNr29I https://t.co/bClsCKuxL1"
,,"#IslamicState
#WilayatBaraqah 
📷 | Soldiers of Khilafah #Ribat in the city of #Benghazi. 

https://t.co/0lBXau0Hq9 https://t.co/zfTdXCXJgw"
,,"#IslamicState 
#WilayatSouthBaghdad 

📷| Distribution of #an-Naba Newspaper.

https://t.co/nVe65eoVSc https://t.co/HfZn5kyjvC"
,,"#ISIS
#WilayatAlKhayr
Martyrdom operation targeted #AlNusayri Army in #ad-Daghim. #AlKhayr
https://t.co/5JZEDMnQeo https://t.co/yctRhLwT54"
,,"#ISIS
#WilayatSalahuddin
Targeting #Rāfidai Army barrages west of the city of #Beiji 

https://t.co/oG0HBm4R0G https://t.co/Oh4JD22MGV"
,,"#IslamicState 
#WilayatKarkuk 
A tour in #al-Khan village Northeast of #al-Hawijah city. 

https://t.co/zdGpBDxNFK https://t.co/k9FwxgJxGd"
,,"#Breaking 
#IslamicState 
#WilayatAlKhayr

https://t.co/zLjuZiqmHN https://t.co/8I7xRlXY8k"
,,"#Breaking 
#IslamicState 
#WilayatAlKhayr

https://t.co/AWu1qPHJqT https://t.co/V9h1APAir9"
,,"🔻 ▪ 🔻 

#Breaking 
#IslamicState 
#WilayatSayna 

#Sayna
#Arish
#IED

https://t.co/lirXHKL5Nc https://t.co/cAOJLsHNGs"
,,"#IslamicState 
#AmaqAgency 
#WilayatHalab 

#Jarabulus
#Aleppo https://t.co/ItgLjANybr"
,,"#Breaking 
#AmaqAgency 
#WilayatDimashq 
#IslamicState

#Yalda
#Yarmouk
#Damascus https://t.co/g9LRyJPo7p"
,,"#AmaqAgency 
#IslamicState 
#WilayatAlKhayr 
Martyrdom operation targets Syrian regime forces.

#Dughaym
#DeirEzzor https://t.co/rA6bncqSrq"
,,"#Breaking 
#AmaqAgency 
#WilayatHims 
#IslamicState fighters fire at Syrian regime forces.

#Furqlus
#Homs https://t.co/k1Wqqle33h"
,,"#IslamicState 
#AmaqAgency 
#WilayatDimashq 

https://t.co/7lNuSugyq5
https://t.co/EcI9jn0FFK https://t.co/SSiF3bgBLU"
,,"#Breaking 
#AmaqAgency 
#WilayatAlKhayr 
#IslamicState fighters advance in the #Dughaym

#DeirEzzor https://t.co/tqBcgIy4aL"
,,"#AmaqAgency 
#IslamicState 
#WilayatAlKhayr 
Syrian regime forces fire chemical weapons.

#Dughaym
#DeirEzzor https://t.co/ZIbF02lEqg"
,,"#AmaqAgency 
#WilayatNinawa 

🎥 | US Airstrike on a Factory in Eastern #Mosul

https://t.co/HIcs7OctyQ
https://t.co/c3wtNQ0wbB"
,,"#WilayatDimashq
ISIS Soldiers Attack on the Tishreen Thermal Power station east of #Dimashq
https://t.co/wqOaQp3dSL https://t.co/kxpFMLhlol"
,,"#AmaqAgency 
Missiles destroy a tank, a military truck and a car carrying Syrian regime soldiers.

#Dumayr
#Qalamun https://t.co/T0zyM7HBZu"
,,"#Breaking 
#IslamicState 
#WilayatDimashq
🔻

https://t.co/RvUZlZGxQT https://t.co/pcKEUUzqUz"
,,"#AmaqAgency 
#IslamicState 
#WilayatSouthBaghdad
📰| Iraqi forces sustain 9 deaths.

#Baghdad. https://t.co/CEX7Cs0tev"
,,"#AmaqAgency 
#WilayatHims  
📰| #IslamicState forces take control of the #Baridah area. https://t.co/4ErvzGTcg8"
,,"#AmaqAgency 
#IslamicState 
#WilayatHalab 

📰| U.S. airstrike hits the town of ar-Rai.

#Aleppo https://t.co/K9LMfg8CB2"
,,"#AmaqAgency
Islamic State Forces in Control of the Muthallath Checkpoint in East #Qalamun
https://t.co/qQjuqLIByb
https://t.co/vRxJbIWXqA"
,,"#WilayatAlAnbar 
#Caravan_Of_Martyrs 
Brother Abu Mustafa al-Ansari
May Allah accept him. 

https://t.co/Xr2ohONOpm https://t.co/WWRidNvWu8"
,,"#IslamicState
#WilayatDimashq 
The spoils for Mujahideen, east and northeast of #Dimashq. 
https://t.co/1DtLrP7SAp https://t.co/t2VGgy0tkC"
,,"#Breaking 
#IslamicState 
#WilayatDimashq 

📰 | The attack on #Tishrien Thermal station east of #Dimashq . https://t.co/asQRxeFNuO"
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@RahaafH Jerry de l'OVNI qui à voté Rabat
,Walaa & Baraa,"RT @Jazrawi_Saraqib: Alqaeda worse than nations
They have different policies for every city
Disgraced people and all those who support this…"
,,"رابط مؤقت لقناة مؤسسة الصمود على التلغرام:
https://t.co/EZX3IJRkVv"
,Walaa & Baraa,RT @Jazrawi_Saraqib: So alqaeda has been fighting Islamic State along with fsa and ahrar alsham led by US and Turkey for a long time
,Walaa & Baraa,RT @OmarKhattabHar7: It has always been known that the kuffar medias will Never support the work of the Mujahideen. They will always speak…
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","RT @MilitaryTimes: Near ISIS front, U.S. Marine artillerymen ‘fire every day’ https://t.co/pVuFkWLN5d https://t.co/w7Iv3XSgNb"
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","Hhahahahhahahahhahahahhahahha

https://t.co/RDu9Y44qdk"
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.","@Q_QKMN this situation uncovered the face of rebels who took direct US support, things clearer people cant say they confused to judge haq"
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.","RT @24Aleppo: commander of #Alraee battle died by landmine after controlling alraee town.
#A24 https://t.co/44EqtguJz5"
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.",RT @Jazrawi_Saraqib: Two alqaeda members in yarmouk camp defect to IS after killing three of AQ apostates and taking their weapons  https:/…
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.","RT @worldonalert: Northern #Aleppo: #Syria|n rebels captured village of #Al_Waqf, south of #Al_Rai, from #ISIS this evening. https://t.co/A…"
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.",RT @24Aleppo: last 30 days #ISIS lose about 45km² N of #Aleppo &amp; controlled by #FSA with cover from anti-#ISIS @coalition &amp;TR army https://…
,News of Maghreb and Mashreq,"@AsgaCu no, during previous clashes"
,News of Maghreb and Mashreq,Rebel commander Yassir Abu Sheikh killed by a land mine explosion in ar-Ra’ī today https://t.co/VmOlugZ8cq
,News of Maghreb and Mashreq,@AsgaCu near airport?
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.","now alqaeda forget the words of ots founder and allied US to get governancehttps://t.co/hvFRKJJcFJ"
,"My worship and my sacrifice and my living and my dying are for Allah alone, the Lord of the Worlds.","Islamic State is here to stay by the permission of Allah
 #CVESymposium
 #CVESymposium
 #CVESymposium
 #CVESymposium"
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.","@Malcolmite rebels &amp; SAA are allied recently don't make misunderstandings b/w them,both want to fight IS now as a single body under US shade"
,News of Maghreb and Mashreq,"@AsgaCu Hm, I wasn't following Deir Zor news in early 2015 I think. I can remember 5 near airport"
,News of Maghreb and Mashreq,@AsgaCu Some days ago they hit other regime soldiers though due to wind
,"My worship and my sacrifice and my living and my dying are for Allah alone, the Lord of the Worlds.","Follow and support our sister 

@AnakSabil_07 
@AnakSabil_07 
@AnakSabil_07 
@AnakSabil_07 
@AnakSabil_07 https://t.co/GneqaBBKCl"
,News of Maghreb and Mashreq,@AsgaCu and they blamed IS
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.","RT @BlogsofWar: Top Army general: US making progress against ISIS, but 'not yet winning' https://t.co/GzH29tEQID"
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.","RT @Free_Media_Hub2: 470,000 dead 1,500,000 injured 11,000,000 displaced this is #Syria 2016 visit https://t.co/y3lYgJXrxI https://t.co/naU…"
,"My worship and my sacrifice and my living and my dying are for Allah alone, the Lord of the Worlds.",Your gathering and your war on the Muslims will only increase us in faith and bring closer your end #CVESymposium https://t.co/DEaoalNken
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.","@Al_maqalaat10 thanks to US for such a great kindbess,mujahiddin fisabillih US"
,"My worship and my sacrifice and my living and my dying are for Allah alone, the Lord of the Worlds.",RT @MotherDawlah: #CVESymposium   FREEDOM TO WEAR BURQA FREEDOM FROM OPPRESSION GIVE BAYA TO DAWLAH ISLAMEYA https://t.co/TDWL3R5p9B
,"My worship and my sacrifice and my living and my dying are for Allah alone, the Lord of the Worlds.","RT @_JstMryam: 🌺$upp0rt our sweetest Ukhti!!🌺
🌺🌺Genuine &amp; Kind🌺🌺

@Gunslinger__G  🌹
@Gunslinger__G  🌹 https://t.co/5O44dU8Pw1"
,"My worship and my sacrifice and my living and my dying are for Allah alone, the Lord of the Worlds.","@Q_QKMN they are ruling by the shariah of Allah,you're the kind of munafiq who would have criticized the prophet(saw) after losing Uhud war"
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.","RT @Jazrawi_Saraqib: So now Alqaeda and ahrar alshame openly fighting Islamic State with US airforce
What are these two dogs going to say h…"
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.",RT @witness_muslim: Sell out rebels ... https://t.co/el9qEZWUWk
,"My worship and my sacrifice and my living and my dying are for Allah alone, the Lord of the Worlds.",@ServantJihade21 @Q_QKMN so loosing a city or two is loosing the war?...at least we are not begging for the kuffar to bomb our enemies
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.","RT @AlHibbin: Je m'en rappelle quand Firat il avait créé un compte Twitter juste pour me piéger en DM en me disant ""elle est belle ta barbe"""
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.","RT @AsgaCu: Thousands being raped and tortured in Assads jails? 
Bah who gives a crap. https://t.co/V3AQHKYTaH"
,"My worship and my sacrifice and my living and my dying are for Allah alone, the Lord of the Worlds.","@ServantJihade21 @Q_QKMN Baqiya with the permission of Allah,you munafiq keep on pleasing the kuffar. #IS defended and fought like men"
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.","RT @Jazrawi_Saraqib: Division 13 ain't playing games braaaaaaa
Alqaeda though they can use FSA
Really 
FSA using their stupid ass https://t…"
,"My worship and my sacrifice and my living and my dying are for Allah alone, the Lord of the Worlds.",Yeah it's ok to ally with the kuffar right?...keep it up you American dog  https://t.co/xEE1r9bqKX
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.",@Jazrawi_Saraqib @ShamiRebel they are shia those pretrnd secular but spread shiaism
,"My worship and my sacrifice and my living and my dying are for Allah alone, the Lord of the Worlds.","RT @_NewsLeak_: #FSA commander: ""We captured Al-Ra'i from daesh""

2 hours later he stepped on a landmine &amp; died while ""controlling"" https:/…"
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.",RT @AsgaCu: Can you even imagine what we would have done if everyone Joined ISIS back in 2013? We wouldnt control Syria but half the Middle…
,News of Maghreb and Mashreq,#US A-10 aircraft supporting rebels in northern #Aleppo countryside https://t.co/PkSiobzE5U
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.","RT @k_kid03: #IslamicState
#WilayatDimashq 
The spoils for Mujahideen, east and northeast of #Dimashq. 
https://t.co/OuX6qGbYDg https://t.c…"
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.","RT @Jazrawi_Saraqib: #AmaqAgency
Meeting of Jubur, Maylat and Afadila tribes hosted by bakara in eastern raqqa
https://t.co/8QIpAF6ZhB http…"
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.","RT @Jazrawi_Saraqib: Islamic State
Wilaya Dimashq
Assault on the tishrin thermal plant north east of damascus
https://t.co/L01DNH1kdp https…"
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.","RT @_NewsLeak_: BREAKING NEWS 

#FSA is attacking ""#ISIS"" supply lines on main road near 'Chinese Factory' in E. #Qalamoun in rescue operat…"
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.",RT @TimesofIslambad: South Korea says North Korea’s latest Missile Launch System is capable to strike Seoul - https://t.co/7yi9NCEq3u https…
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.","RT @Jazrawi_Saraqib: Alqaeda commander on aljazeera
Coalition airplanes aided us and allowed us to enter Alrai and kill Islamic State  http…"
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.","RT @Jazrawi_Saraqib: #AmaqAgency
Alqaeda military commander and security official for Joura district in Damascus eliminated
Alhamdulillah h…"
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.","RT @Jazrawi_Saraqib: Islamic State
Wilaya Halab
Clashes today between Islamic State and US/Alqaeda at Rai
https://t.co/xWa2Zg39fV https://t…"
,"Bismi-llāhi r-raḥmāni r-raḥīmi|  Allahumma inni as’aluk ash-shahadah| Sabran ya nafsi| No DM|  سلف الصالح

Ahl' us Sunn'āh wāl Jāmm'āh",Don't get in2 public/media debates. Advise your Fam in Deen privately with courtesy. Kuffar always wait 2 c a gd debate why rubbing hands
,Walaa & Baraa,"RT @hadithday: “O you who believe! Fear Allah, and be with those who are true (in word and deeds).” (Quran 9:119)"
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.","RT @Jazrawi_Saraqib: While sahawat were being slaughtered by PKK and Asad in northern alepo.

Islamic state chose not to attack them.

Saha…"
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","@SinaiViaDamas @Gobelet_Jetable en plus il veut pas me donner ma canette schweppes gold +dessert c'est un anakeur,il dit que je suis AliBaba"
,"Bismi-llāhi r-raḥmāni r-raḥīmi|  Allahumma inni as’aluk ash-shahadah| Sabran ya nafsi| No DM|  سلف الصالح

Ahl' us Sunn'āh wāl Jāmm'āh",We are to show unity for the sake of Allah and Rasullullahﷺ NOT play in2 the hands of our enemies with us bickering on social media..
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.","RT @Jazrawi_Saraqib: All I can say is Islamic state won today
Alhamdulillah
Alqaeda and ahrar exposed as fighting under US command against…"
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.","truehttps://t.co/28MVeFgnIr"
,"Bismi-llāhi r-raḥmāni r-raḥīmi|  Allahumma inni as’aluk ash-shahadah| Sabran ya nafsi| No DM|  سلف الصالح

Ahl' us Sunn'āh wāl Jāmm'āh",Gentleness in giving advice and avoiding excess and rebuke...
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.","RT @MaghrebiWM: This whole N-Aleppo campaign against #IS is directed by a joint operation room called ""Hiwar Kilis Operation Room"" with dir…"
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.",beg harder
,"Journalist, specialize in ongoing war against terrorism.Retweet is not endorsement.","RT @JooniIsrar: Agree 100%. It's our honour to be apart of Taifatul Monsoora. Victory is Near,  camps are now divided, take sides!!! https:…"
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","@app33mu113_ 

https://t.co/64870tWDDI"
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@NinjaTlemceniii balance le lien lol
,"Bismi-llāhi r-raḥmāni r-raḥīmi|  Allahumma inni as’aluk ash-shahadah| Sabran ya nafsi| No DM|  سلف الصالح

Ahl' us Sunn'āh wāl Jāmm'āh","Messenger of Allah (ﷺ) said, “Allah shows compassion only to those among His slaves who are compassionate“.

[Al-Bukhari and Muslim]."
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","RT @RomainCaillet: Le livre de @SimNasr ""L'Etat islamique, le fait accompli"" s'annonce comme un ouvrage incontournable sur la question. htt…"
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.","Pentagon: All #Syria|n opposition assholes vetted?
CENTCOM: Fingered &amp; checked; Sir
Pentagon: Release the VSO
#ISIS https://t.co/Rd6gLVwwai"
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",المعارضة السورية المبـــــعوصـــــة #سوريا
,we provide fresh news from every battlefield,Ich habe ein neues Foto auf Facebook gepostet https://t.co/HIPKbJmzDm
,we provide fresh news from every battlefield,"FSA Captured Strategic Al Raii Village from #IS in northern #Aleppo. Were Backed by US Aircraft.

Some of the... https://t.co/STcl2zZFRH"
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",تركيا وقطر والسعودية وأمريكا تحذر من معارضين في #سوريا غير مفحوصين ولا يوجد عليهم أختام الضمان صناعة صينية.. يرجى الحذر وتبليغ الوكيل فورا..
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",قبل الشراء تأكد من جودة المعارض السوري الذي تشتريه ، اقلبه افتحه وتأكد من أن خاتم الجودة والفحص الأمريكي موجود ومطابق للمواصفات... #سوريا
,,@_IraqWitness @AsgaCu @MaghrebiWM ahrar alsharqiya is alqaeda group led by galaxy approved by their council
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.","قيادة الجيش الكر: عزيزي المعارض السوري بادر إلى الفحص الأمريكي حتى تحصل على خاتم الجودة ""طيزو 9001"". عاشت #سوريا https://t.co/ROOnInLkTw"
,"Bismi-llāhi r-raḥmāni r-raḥīmi|  Allahumma inni as’aluk ash-shahadah| Sabran ya nafsi| No DM|  سلف الصالح

Ahl' us Sunn'āh wāl Jāmm'āh","https://t.co/rbRJ5OcNSY

Subhanallah 😢 sh.Osama Ibn laden( may Allāh grant him JannatulFirdaus)"
,,He is with his Lord while your dead are with American kuffar in hell https://t.co/D8xGhydhAO
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@MaghrebiWM @p_vanostaeyen with schweppes gold soda
,,"VSO vetted sahawat apostate commander killed from I.E.D he tried defusing
Straight to hell with US kuffar https://t.co/knz9za4QFi"
,,Asad supporter overjoyed US mercenaries captured alrai https://t.co/wdFqsSsn1U
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@Gobelet_Jetable @SinaiViaDamas https://t.co/WjkzLTAsnr
,"A Moroccan engineer in nanotechnology commenting on Middle East  politics, mainly Iraq/Syria. Not representing any group. RTs and Favs  aren't endorsements.",@Uncle_SamCoco @p_vanostaeyen Oh nice one
,,"RT @MarwanTunsi1: Al hamdullilah!
What a nice day it was, Ahrar al Sham apostasy was exposed to the whole world for the sake of a small tow…"
,we provide fresh news from every battlefield,"Ahrar ash-Sham, now officially under the direct command of USA &amp; fights under their jets.

Picture is of them in... https://t.co/DPyXg872Mx"
,,"Notice how #AmaqAgency is overjoyed to announce this loss
Why?
Because those who got exposed today for ridda changes a lot on the ground"
,"A Moroccan engineer in nanotechnology commenting on Middle East  politics, mainly Iraq/Syria. Not representing any group. RTs and Favs  aren't endorsements.","RT @san_ios: Aamaq:
Scenes from the locations where #IslamicState fighters advanced in Sina'ah neighborhood, #DeirEzzor.
#SAA #IS https://t…"
,,"Abu Firas alsuri and his son 
hours before he was killed by same US jet aiding his group alqaeda against Muslims https://t.co/gx8EaQ3TUd"
,we provide fresh news from every battlefield,"Will We Face freedom soon?

SAA&amp; FSA against IS? https://t.co/6hrBb3Kig8"
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.","اثنان فقط في هذا العالم يسألونهم الزبائن ان كانوا مفحوصين أم لا (قبل شرائهم ثم استخدامهم):
- العاهرات
- المعارصة السورية المبعوصة
#سوريا"
,,"leaving your life in West 
Just to join the army of the US in sham 
Why not just join British army?
@Amerdeghayes1 https://t.co/Vnlgjh2kkm"
,,"Who cares.
I thought it's allowed to ally with kuffar against Muslims 
So why does it matter if Russia bombing  https://t.co/ujv846ZQWL"
,"A Moroccan engineer in nanotechnology commenting on Middle East  politics, mainly Iraq/Syria. Not representing any group. RTs and Favs  aren't endorsements.",@Gobelet_Jetable Faut vous mettre à l'anglais les gars !
,,"Booohoo
Apostates crying 
Next step for Alqaeda in South dimashq
Ally with pro asad rebels  https://t.co/u4slxA9Icb"
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@Gobelet_Jetable A mort les british Vive le foncé
,,@BrunFree @RamiAlLolah lol
,,@kingemirb so people read everything lol
,,@OumDujana hold on let me contact my peeps
,we provide fresh news from every battlefield,"The IS Militant who says: ""No Al Aqsa or Saudi Arabia Before Mare"" Captured Today by #Rebels near Al Raiis.... https://t.co/HJpHJXXY7h"
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",صورة توضيحية لما يحدث من تغيرات فيسيلوجية في المعارص السوري قبل (يسار) وبعد (يمين) الفحص الأمريكي العميق.. #سوريا https://t.co/j55ClhFofF
,,@NaserTawheed04  lol
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",@abdulmalek1969 تفضل https://t.co/jmCmuQtTHF وخلي الفتح آخر الوسائل الممكنة :)
,,Qatari mouth price defending the interests of his master  https://t.co/y9q5ym1VT8
,,RT @klekishi: Taliban exposed by their previous leaders: https://t.co/dUmNypPcvk
,,"So all those who were calling Islamic state khawarij in sham are 
1. Working in US led coalition
2. Have outside donors."
,,"Those who called Islamic State khawarij before today make tauba
And make tauba from supporting apostates"
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",RT @wattebre: Je me baladais entre les rochers quand tt a coup j'aperçoi un ancien camp d'entraînement de pirate de l'air #schweps https://…
,"A Moroccan engineer in nanotechnology commenting on Middle East  politics, mainly Iraq/Syria. Not representing any group. RTs and Favs  aren't endorsements.","RT @TheStudyofWar: New from ISW's Chris Kozak. Despite Geneva Talks, #Aleppo to become new focus of violence. https://t.co/PKz0mwb705 https…"
,,"Vetted apostates gains on a larger map
Apostated for what? https://t.co/BwAkWkCPVr"
,,"If your vetted by US crusaders it basically means your their bitch
Alqaeda
Ahrar
Fsa
Apostate bitches of US"
,Reporting on conflicts in the MENA and Asia regions. Not affiliated to any group or movement.,"AmaqAgency reports that FSA and Ahrar as-Sham take Al-Rai from ISIS, aided by US airstrikes and Turkish shelling: https://t.co/LDUIoufjRs"
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.","عاجل، سماع صراخ وعويل في أقبية البنتاغون وعبارات ""يا الله ما النا غيرك يا الله"" لمعارصين سوريين يتعرضون لفحص أمريكي عميق وعنيف ودموي #سوريا"
